lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86649,32305,28147,26197,8,0.384,1.478,Medium,1,3.0,2.8,2.9,3.0,1.1,1.35,15.4,0,Clear,33,21,none,0,,0
2,82078,26885,28848,26345,8,0.544,1.398,Medium,2,6.4,5.5,5.1,6.4,3.3,1.37,5.8,3,Clear,33,21,none,0,,1
3,81290,26355,27745,27190,7,1.055,2.465,Medium,3,10.1,8.2,7.7,10.1,5.2,1.40,11.3,3,Clear,33,21,none,0,,0
4,80930,26649,27655,26626,8,0.593,2.568,Medium,4,14.1,11.1,9.8,14.1,7.5,1.47,14.6,3,Clear,33,21,none,0,,1
5,81611,27216,27687,26708,6,0.376,2.524,Medium,5,18.0,13.7,12.1,18.0,9.7,1.28,19.2,3,Clear,33,21,none,0,,1
6,82138,26485,28069,27584,7,0.171,2.113,Medium,6,21.7,16.7,14.7,21.7,11.8,1.36,35.2,3,Clear,33,21,none,0,,1
7,81171,25850,28204,27117,4,3.830,0.000,Medium,7,25.6,19.8,17.0,25.6,14.1,1.32,30.8,3,Clear,33,21,none,0,,0
8,81138,26217,27987,26934,2,0.000,0.079,Medium,8,29.2,22.5,19.3,29.2,15.9,1.35,0.0,3,Clear,33,21,none,0,,0
9,81324,26696,27711,26917,1,0.000,17.070,Medium,9,32.9,25.5,21.8,32.9,18.1,1.21,39.2,3,Clear,33,21,none,0,,0
10,86125,25914,28388,31823,1,0.000,16.079,Medium,10,36.3,28.5,24.2,36.3,20.1,1.27,2.6,0,Clear,33,21,none,0,,0
11,127204,48230,27009,51965,5,3.297,1.560,Hard,1,0.3,0.2,0.1,0.3,0.1,1.24,3.7,3,Clear,33,21,none,1,Hard,0
12,79523,26120,27071,26332,4,1.856,2.860,Hard,2,3.2,2.4,2.0,3.2,1.8,1.28,11.3,0,Clear,33,21,none,0,,0
13,79646,25828,26924,26894,4,0.169,4.056,Hard,3,6.1,4.6,4.0,6.1,3.3,1.26,21.1,3,Clear,33,21,none,0,,1
14,78965,25236,27256,26473,5,0.278,2.147,Hard,4,8.9,6.7,5.5,8.9,5.0,1.17,21.3,3,Clear,33,21,none,0,,1
15,79641,25796,27621,26224,2,4.666,1.397,Hard,5,12.0,8.8,7.3,12.0,6.5,1.16,7.7,0,Clear,33,21,none,0,,0
16,79967,26146,27423,26398,2,4.026,1.920,Hard,6,14.7,10.9,9.0,14.7,8.0,0.04,0.0,0,Clear,32,20,none,0,,0
