lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97663,34215,40037,23411,2,2.267,0.119,Soft,1,3.2,1.9,1.7,3.2,1.7,2.54,9.7,3,Clear,32,25,none,0,,0
2,93480,29996,40244,23240,2,1.576,1.114,Soft,2,8.0,5.7,5.1,8.0,4.6,2.46,4.9,0,Clear,32,25,none,0,,0
3,94228,30363,40743,23122,3,0.814,1.878,Soft,3,12.8,9.6,8.1,12.8,7.1,2.54,4.1,0,Clear,32,25,none,0,,0
4,94591,30491,40698,23402,2,0.443,2.137,Soft,4,18.0,13.4,11.1,18.0,9.9,2.54,5.6,3,Clear,32,25,none,0,,1
5,94259,30213,40909,23137,1,0.000,1.356,Soft,5,22.7,17.0,14.1,22.7,12.6,2.38,7.6,3,Clear,32,25,none,0,,0
6,95087,30377,41260,23450,1,0.000,1.995,Soft,6,27.6,20.5,17.2,27.6,15.1,2.43,5.3,3,Clear,32,25,none,0,,0
7,95805,30732,40912,24161,2,0.000,2.475,Soft,7,32.7,24.0,20.4,32.7,17.7,2.40,14.0,0,Clear,31,25,none,0,,0
8,96293,31250,41176,23867,1,0.000,1.841,Soft,8,37.8,27.7,23.5,37.8,20.6,2.44,57.3,3,Clear,31,25,none,0,,0
9,123451,30612,42074,50765,1,0.000,24.962,Medium,1,0.3,0.3,0.2,0.1,0.1,2.32,27.1,0,Clear,31,25,none,1,Medium,0
10,113143,50000,40387,22756,1,0.000,5.900,Medium,2,3.5,3.2,2.6,3.5,2.0,2.45,11.8,3,Clear,31,25,none,0,,0
11,93118,29921,40066,23131,1,0.000,8.374,Medium,3,7.4,6.2,4.8,7.4,4.2,2.33,3.6,3,Clear,31,25,none,0,,0
12,94913,30499,40775,23639,1,0.000,8.347,Medium,4,11.0,9.1,6.9,11.0,6.4,2.33,78.2,3,Clear,31,25,none,0,,0
13,92763,29718,40209,22836,2,0.000,10.114,Medium,5,15.0,11.9,9.0,15.0,8.7,2.22,7.6,3,Clear,31,25,none,0,,0
14,94304,30137,40507,23660,1,0.000,10.258,Medium,6,18.5,14.9,11.5,18.5,10.9,2.24,31.0,3,Clear,31,25,none,0,,0
