lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,94409,32411,28051,33947,19,0.024,0.000,Medium,1,4.2,2.1,3.4,4.2,1.9,2.46,21.9,3,Clear,34,23,none,0,,0
2,84435,27886,28215,28334,13,0.474,0.790,Medium,2,7.9,4.8,5.6,7.9,4.2,2.43,8.8,3,Clear,34,23,none,0,,1
3,84325,27632,28264,28429,11,0.332,2.025,Medium,3,11.9,7.9,8.0,11.9,6.3,2.56,17.0,3,Clear,33,23,none,0,,1
4,99618,27545,34764,37309,8,0.000,0.101,Medium,4,15.3,10.8,10.4,15.3,8.2,2.67,85.1,0,Clear,33,23,SC,0,,0
5,126984,48077,38839,40068,2,0.130,0.357,Hard,1,0.4,0.4,0.1,0.4,0.1,2.93,96.8,0,Clear,33,23,SC,1,Hard,0
6,119450,35000,39384,45066,2,0.017,0.407,Hard,2,3.1,2.5,1.9,3.1,1.6,3.04,89.4,3,Clear,33,23,SC,0,,0
7,83306,27008,27929,28369,1,0.000,2.255,Hard,3,6.1,4.7,3.5,6.1,3.0,3.12,49.4,3,Clear,33,23,none,0,,0
8,83678,27105,27861,28712,1,0.000,4.160,Hard,4,8.8,6.7,5.4,8.8,4.6,3.07,66.5,0,Clear,33,23,none,0,,0
9,82658,27101,27518,28039,1,0.000,5.622,Hard,5,11.5,8.7,7.1,11.5,6.0,3.03,24.7,3,Clear,33,23,none,0,,0
10,83694,27122,28600,27972,1,0.000,6.147,Hard,6,14.4,11.0,8.7,14.4,7.6,3.07,46.6,3,Clear,33,23,none,0,,0
11,84455,27081,28190,29184,1,0.000,6.086,Hard,7,17.2,13.0,10.5,17.2,8.9,2.94,53.2,3,Clear,33,23,none,0,,0
12,83411,27345,28256,27810,2,0.000,7.061,Hard,8,20.0,14.9,12.4,20.0,10.5,2.94,40.3,0,Clear,33,23,none,0,,0
13,83177,27192,28799,27186,1,0.000,6.467,Hard,9,22.9,16.9,14.2,22.9,12.1,0.05,0.0,0,Clear,32,22,none,0,,0
