lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86522,34655,30750,21117,4,0.135,0.777,Medium,1,3.1,3.1,2.1,3.1,1.7,2.64,37.1,3,Clear,38,25,none,0,,0
2,80545,29922,30342,20281,3,0.572,0.759,Medium,2,6.6,5.9,4.3,6.6,3.8,2.46,45.4,3,Clear,37,25,none,0,,0
3,80039,29234,30250,20555,1,0.000,0.335,Medium,3,10.6,9.0,6.8,10.6,5.9,2.50,34.9,3,Clear,37,25,none,0,,0
4,81622,30862,30193,20567,2,0.051,2.189,Medium,4,14.2,12.0,9.4,14.2,7.9,2.57,37.9,3,Clear,37,25,none,0,,0
5,81679,30210,30633,20836,2,0.000,2.075,Medium,5,17.7,14.9,12.0,17.7,10.1,2.36,73.5,3,Clear,37,25,none,0,,0
6,81858,30366,30530,20962,1,0.000,1.224,Medium,6,21.5,17.9,14.5,21.5,12.1,2.33,40.1,3,Clear,37,25,none,0,,0
7,82888,30305,31503,21080,1,0.000,1.189,Medium,7,24.9,20.5,16.8,24.9,14.0,2.41,38.4,3,Clear,37,25,none,0,,0
8,83510,30768,31667,21075,1,0.000,0.348,Medium,8,28.4,23.1,19.1,28.4,16.1,2.31,86.8,3,Clear,37,25,none,0,,0
9,82195,30167,31089,20939,2,0.126,0.346,Medium,9,31.8,25.8,21.4,31.8,18.2,2.23,36.9,3,Clear,37,25,none,0,,0
10,85476,31698,31011,22767,2,0.000,0.600,Medium,10,35.4,28.6,24.0,35.4,20.1,2.32,60.4,0,Clear,37,25,none,0,,0
11,123520,49482,30950,43088,5,0.157,0.000,Hard,1,0.4,0.0,0.0,0.4,0.1,2.28,37.8,3,Clear,37,25,none,1,Hard,0
12,79698,29113,29999,20586,1,0.000,1.555,Hard,2,3.4,1.9,1.5,3.4,1.5,2.25,19.2,3,Clear,37,25,none,0,,0
13,80626,30339,29900,20387,2,0.000,1.155,Hard,3,6.2,4.1,3.3,6.2,3.0,2.30,52.6,3,Clear,36,25,none,0,,0
14,80690,30313,29953,20424,1,0.000,1.619,Hard,4,9.1,6.3,5.1,9.1,4.8,2.25,63.9,3,Clear,36,25,none,0,,0
15,81256,30536,30203,20517,1,0.000,0.989,Hard,5,11.9,8.4,7.0,11.9,6.6,2.28,71.4,3,Clear,36,25,none,0,,0
16,80994,29978,30567,20449,1,0.000,1.400,Hard,6,14.7,10.5,8.7,14.7,7.9,2.14,44.5,3,Clear,36,25,none,0,,0
17,80832,29981,30162,20689,1,0.000,3.435,Hard,7,17.5,12.3,10.7,17.5,9.3,2.17,51.2,3,Clear,36,25,none,0,,0
18,80565,29928,29966,20671,1,0.000,4.444,Hard,8,20.4,14.3,12.6,20.4,10.9,0.01,0.4,0,Clear,36,25,none,0,,0
